choreID	title	assignee	category	frequency	lastCompleted	nextDue	isPriority	notes	previousLastCompleted
chore_119	riley heartgard	Dan	riley	30	Aug 1, 2025	Aug 31, 2025	FALSE		Jul 1, 2025
chore_124	clean out dishwasher filter and seal	Dan	kitchen	30	Aug 6, 2025	Sep 5, 2025	FALSE		Aug 3, 2025
86769bc1	riley bath	Dan	riley	30	Aug 3, 2025	Sep 2, 2025	FALSE		Jul 1, 2025
chore_087	clean coffee maker	Dan	kitchen	90	Aug 2, 2025	Oct 31, 2025	FALSE		May 12, 2025
chore_129	restock toilet paper	Katie	bathroom	14	Aug 2, 2025	Aug 16, 2025	FALSE		Jul 27, 2025
chore_120	riley fleas	Dan + Kim	riley	30	Jul 31, 2025	Aug 30, 2025	FALSE		Jul 1, 2025
chore_101	clean toilets	Kim	bathroom	30	Jul 30, 2025	Aug 29, 2025	FALSE		Jul 6, 2025
chore_099	clean stove	Kim	kitchen	30	Jul 27, 2025	Aug 26, 2025	FALSE		Jul 27, 2025
chore_073	check tire pressure	Dan	outside	90	Jul 27, 2025	Oct 25, 2025	FALSE		Jul 27, 2025
chore_074	clean vacuum filters	Dan	all rooms	90	Jul 27, 2025	Oct 25, 2025	FALSE		Jul 27, 2025
chore_075	clean vacuum rollers	Dan	all rooms	90	Jul 27, 2025	Oct 25, 2025	FALSE		Jul 27, 2025
chore_076	clean out stove hood vent and grease traps	Dan	kitchen	90	Jul 27, 2025	Oct 25, 2025	FALSE	Use dawn power wash spray or soak in soapy water and scrub with a brush	Jul 27, 2025
chore_077	clean stove grates, burner caps, and burner heads	Dan	kitchen	90	Jul 27, 2025	Oct 25, 2025	FALSE	grates and caps can be put in dishwasher, but stainless steel burner heads should be soaked in soapy water and not put in the dishwasher	Jul 27, 2025
chore_079	Inspect washer hoses	Dan	laundry	90	Jul 27, 2025	Oct 25, 2025	FALSE	Replace Dec 2027 - (replace drain hose every 4 years, and braided inlet hoses every 5-8 years, or just keep an eye on then to see if they leak)	Jul 27, 2025
chore_040	clean window and slider weep holes	Dan	outside	182	Jul 27, 2025	Jan 25, 2026	FALSE	incl. 2nd story? Weep underneath windows can get clogged with dust occasionally and should be cleaned out with a paper clip https://www.summerwindsnursery.com/az/inspire/blog/drip-irrigation-guide/	Jul 27, 2025
chore_041	adjust exterior door thresholds and door sweeps	Dan	outside	182	Jul 27, 2025	Jan 25, 2026	FALSE	(with warranty or if problem only)	Jul 27, 2025
chore_107	remove hair from shower drain	Dan	bathroom	30	Jul 27, 2025	Aug 26, 2025	FALSE		Jul 27, 2025
chore_113	leaf blow front and backyards	Dan	outside	30	Jul 27, 2025	Aug 26, 2025	FALSE		Jul 27, 2025
